sleeping,raisHand,eyeCoordX,eyeCoordY,timestamp,numPersons,personId
"0","0","256.48800243030894","217.31011307757834","1920","2","0"
"0","0","720.4603436574982","307.8999361784562","1920","2","1"
"0","0","721.9231355475467","305.43493519658625","1921","2","0"
"0","0","256.62729947760914","219.47369865749192","1921","2","1"
"0","0","711.1511919487036","301.50321297023606","1921","2","0"
"0","0","245.87813509708388","213.3644385959791","1921","2","1"
"0","0","711.3905688107869","301.13617938497794","1921","2","0"
"0","0","244.94495756888506","213.0739701312521","1921","2","1"
"0","0","241.29661614815015","217.98347804857337","1921","2","0"
"0","0","691.4617839612459","319.5800283680791","1921","2","1"
"0","0","235.3101104298277","214.60177628890327","1921","2","0"
"0","0","690.0354405453331","318.90306887419325","1921","2","1"
"0","0","229.99725077140846","207.25805863090181","1922","2","0"
"0","0","695.0003968015242","312.9731916344684","1922","2","1"
"0","0","691.2199993224806","305.8039557415506","1922","2","0"
"0","0","165.11172600054857","171.9449184251868","1922","2","1"
"0","0","683.2325412439958","306.34178327477497","1922","2","0"
"0","0","118.82442154952784","176.48335995881453","1922","2","1"
"0","0","682.5671538211512","303.91028694484544","1923","2","0"
"0","0","95.44226687490655","193.0180259372877","1923","2","1"
"0","0","676.7415810543955","296.54720803965694","1923","2","0"
"0","0","83.92563158245179","211.9134015622346","1923","2","1"
"0","0","82.88332669928884","217.9361807781717","1923","2","0"
"0","0","670.4612986550948","295.64558277959406","1923","2","1"
"0","0","682.2336625824705","302.42713928222656","1923","2","0"
"0","0","111.41876802490088","226.07773241789445","1923","2","1"
"0","0","683.7817541606119","303.90909609587294","1923","2","0"
"0","0","115.14579216258949","227.9718780517578","1923","2","1"
"0","0","134.5669796592311","231.61622752314028","1924","2","0"
"0","0","689.36386181407","306.56469096308166","1924","2","1"
"0","0","163.05667220120225","237.7652707307235","1924","1","0"
"0","0","178.7672158747769","240.38909248683763","1924","1","0"
"0","0","178.7672158747769","240.38909248683763","1924","1","0"
"0","0","402.4675117383163","229.99103297357973","1925","1","0"
"0","0","404.6246102438019","228.23831807012144","1925","1","0"
"0","0","424.82856129915524","178.04223433784816","1925","1","0"
